V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0,0.08493150684931507,0.16164383561643836,0.2465753424657534,0.3287671232876712,0.4136986301369863,0.4958904109589041,0.5808219178082191,0.6657534246575343,0.7479452054794521,0.8328767123287671,0.915068493150685,1
966.2584935908177,500.52490197140946,487.4365189792736,556.6426942572675,537.3842715527153,537.6375167755186,494.1304426964357,474.7561316274091,433.4029732850613,376.88082667785784,228.33493315627402,133.54260226482074,138.24470569071582
987.9429294244961,508.9302635513145,500.45902403141554,570.6834122328755,547.2482095219802,544.2463272613641,495.40559489832185,473.9100057398964,432.6033946404614,379.3279442768853,324.0823432156667,129.90243321492562,134.164603005147
960.6593655739223,498.35455749599134,484.0739840511403,553.0172470472248,534.8373087511818,535.9310589163665,493.8011862438284,474.9746093963922,433.60943211226004,376.24895758915136,203.61203926497365,134.48252860968205,139.29822709352266
1025.7292157710383,523.5770545465056,523.1514338604634,595.1501124046813,564.4366476934856,555.7625321257005,497.6276156419317,472.43558623846184,431.2100861931867,383.59217725162216,490.9273135526364,123.55924443546246,127.05480639421785
991.8473849740029,510.44371591493586,502.8038298870672,573.211555443029,549.0242901929041,545.4362962776213,495.63519621833393,473.7576540281698,432.459424130916,379.768567310065,341.32242773641246,129.24699175649766,133.42994798827567
961.0651699934589,498.5118561641739,484.317688344124,553.2800062654803,535.0219033448648,536.0547367710087,493.8250495531197,474.95877492288855,433.5944687279125,376.29475316088883,205.40386463037976,134.4144061692523,139.22187169674635
996.074574194192,512.0822669076797,505.3424522150124,575.9486693862025,550.9471777686799,546.7246255040914,495.883775876262,473.5927092605016,432.30355333708576,380.2456112698201,359.9875395598647,128.53737295500287,132.63456801058237
1002.7904733711183,514.6854963091373,509.37565979449505,580.2972282797377,554.0021437081741,548.7714440260388,496.278704002998,473.33065512198846,432.05591537212604,381.0035094782497,389.64152536529673,127.40997409097145,131.37091704553131
998.4395618982737,512.9989878653892,506.76273654064016,577.4800039168072,552.0229766591865,547.4454077120081,496.02284886397683,473.50042752739955,432.21634822474516,380.5125032967335,370.4301191697268,128.14036216303157,132.1895763697221
974.8526760359497,503.85619504673195,492.5977223958246,562.2074455318018,541.2936415352015,540.2567835849618,494.63582318004046,474.4207869449556,433.0860766499063,377.85069166637095,266.28245999122464,132.09989574545943,136.62764047658675
