month,no_days_in_mth,age_mth,no_days_cumul,age_yrs
Jan,0,0,0,0
Jan,15.5,0.5,15.5,0.04246575342465753
Jan,15.5,1,31,0.08493150684931507
Feb,14,1.5,45,0.1232876712328767
Feb,14,2,59,0.16164383561643836
Mar,15.5,2.5,74.5,0.20410958904109588
Mar,15.5,3,90,0.2465753424657534
Apr,15,3.5,105,0.2876712328767123
Apr,15,4,120,0.3287671232876712
May,15.5,4.5,135.5,0.37123287671232874
May,15.5,5,151,0.4136986301369863
Jun,15,5.5,166,0.4547945205479452
Jun,15,6,181,0.4958904109589041
Jul,15.5,6.5,196.5,0.5383561643835616
Jul,15.5,7,212,0.5808219178082191
Aug,15.5,7.5,227.5,0.6232876712328768
Aug,15.5,8,243,0.6657534246575343
Sep,15,8.5,258,0.7068493150684931
Sep,15,9,273,0.7479452054794521
Oct,15.5,9.5,288.5,0.7904109589041096
Oct,15.5,10,304,0.8328767123287671
Nov,15,10.5,319,0.873972602739726
Nov,15,11,334,0.915068493150685
Dec,15.5,11.5,349.5,0.9575342465753425
Dec,15.5,12,365,1
